,ID,Name,HOF,HOF_n,HOF_mgr,FY,LY,SP,n_33,POS,ASG,G,AB,R,H,DB,TP,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,DBTP,BBSB,AVG,SLG,OBP,AW_P,AW_C,AWD,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,WAR
1313,brookhu01,"Brooks, Hubie",N,1,N,1980,1994,15,15,0,N,1645,5974,65.6,160.8,290,31,149,82.4,64,56,387,1005,62,38,12,65,163,32.1,45.1,269,403,315,2,0,1,-404.1854984,49.49020262,-464.3736932,-59.40911636,-62.05585436,-1.975749438,1.176559605
1316,brookto01,"Brookens, Tom",N,0,N,1979,1990,12,12,0,N,1336,3865,47.7,95,175,40,71,43.1,86,60,281,605,12,14,59,39,67,21.5,36.7,246,367,296,0,0,0,-289.1597993,21.63789697,-455.8747298,-60.37049693,-56.41610073,3.725493123,0.936683889
1317,brosisc01,"Brosius, Scott",N,1,N,1991,2001,11,11,0,N,1146,3889,54.4,100.1,200,8,141,53.1,57,30,348,699,12,47,31,41,84,20.8,40.5,257,422,323,3,0,1,-372.81488,-10.42573029,-483.7001026,-69.26325431,-57.01446758,8.315779614,1.832277319
1352,brownga01,"Brown, Gates",N,2,N,1963,1975,13,13,0,N,1051,2262,33,58.2,78,19,84,32.2,30,8,242,275,18,15,5,21,54,9.7,27.2,257,420,330,0,0,0,-305.6099092,-26.70430087,-509.9351361,-74.01464736,-56.17305429,7.149868809,1.021493124
1360,brownje01,"Browne, Jerry",N,0,N,1986,1995,10,10,1,N,982,3190,43.1,86.6,135,25,23,28.8,73,45,393,325,14,13,78,33,65,16,46.6,271,351,351,0,0,0,-246.8595307,45.73468053,-499.828174,-105.4124767,-68.42378272,6.921219579,1.616940923
1370,brownla01,"Brown, Larry",N,1,N,1963,1974,12,12,1,N,1129,3449,33.1,80.3,108,13,47,25.4,22,23,317,414,26,22,60,23,95,12.1,33.9,233,313,300,0,0,0,-240.0964645,30.65683011,-426.1412954,-87.9669362,-59.17046354,11.76296282,0.963006975
1382,brownol02,"Brown, Ollie",N,0,N,1965,1977,13,13,0,N,1221,3642,40.4,96.4,144,11,102,45.4,30,27,314,616,45,17,16,23,97,15.5,34.4,265,394,324,0,0,0,-329.2845417,10.06908464,-483.1873372,-75.78407177,-66.24321471,8.002015688,1.193095713
1415,brunato01,"Brunansky, Tom",N,0,N,1981,1994,14,14,0,N,1800,6289,80.4,154.3,306,33,271,91.9,69,70,770,1187,43,30,8,72,146,33.9,83.9,245,434,327,0,0,0,-511.3829521,-11.66412108,-435.8603543,-80.93567439,-52.60093123,8.052004481,1.929711257
1427,brutobi01,"Bruton, Bill",N,1,N,1953,1964,12,12,0,N,1610,6056,93.7,165.1,241,102,94,54.5,207,89,482,793,32,29,72,29,73,34.3,68.9,273,393,328,0,0,0,-353.2805069,73.73001507,-487.7251129,-64.65503005,-55.50336753,15.69540886,1.929709058
1450,bucknbi01,"Buckner, Bill",N,1,N,1969,1990,22,22,0,N,2517,9397,107.7,271.5,498,49,174,120.8,183,73,450,453,111,42,47,97,247,54.7,63.3,289,408,321,0,0,0,-481.9753704,141.5325391,-462.7947735,-43.69962747,-56.23242789,-4.942362171,1.290650852
1459,buechst01,"Buechele, Steve",N,0,N,1985,1995,11,11,0,N,1334,4266,50.1,104.6,183,21,137,54.7,17,28,408,842,31,43,50,23,107,20.4,42.5,245,394,316,0,0,0,-360.1881669,0.989054543,-457.6710922,-75.29429689,-53.90140389,6.733129661,1.876492693
1464,bufordo01,"Buford, Don",N,0,N,1963,1972,10,10,0,N,1286,4553,71.8,120.3,157,44,93,41.8,200,105,672,575,57,41,47,34,34,20.1,87.2,264,379,362,0,0,0,-329.7822561,41.36754399,-493.4107768,-109.0293395,-56.62555323,15.28643503,3.840340378
1466,buhneja01,"Buhner, Jay",N,1,N,1987,2001,15,15,0,N,1472,5013,79.8,127.3,233,19,310,96.5,6,24,792,1406,41,56,12,54,123,25.2,79.8,254,494,359,1,0,1,-558.4626621,-61.58952381,-481.8697471,-92.38265154,-51.27088426,3.874860546,1.913919352
1479,bumbral01,"Bumbry, Al",N,1,N,1972,1985,14,14,0,N,1496,5053,77.8,142.2,220,52,54,40.2,254,92,471,709,30,21,44,30,74,27.2,72.5,281,378,343,1,0,1,-305.851725,74.87864114,-504.3108596,-80.78547903,-63.00729417,16.40535023,2.26796583
1493,burgesm01,"Burgess, Smoky",N,2,N,1949,1967,18,18,1,Y,1691,4471,48.5,131.8,230,33,126,67.3,13,14,477,270,80,13,13,39,121,26.3,49,295,446,362,0,0,0,-393.2643126,27.49553865,-537.0422329,-79.44616206,-67.974617,1.450743304,2.494274885
1515,burksel01,"Burks, Ellis",N,1,N,1987,2004,18,18,0,N,2000,7232,125.3,210.7,402,63,352,120.6,181,84,793,1340,33,60,29,62,171,46.5,97.4,291,510,363,3,0,1,-640.2572027,-1.031537288,-488.7758695,-77.11873565,-66.95191487,11.43640956,3.002605186
1516,burleri01,"Burleson, Rick",N,1,N,1974,1987,13,13,1,Y,1346,5139,65.6,140.1,256,23,50,44.9,72,68,420,477,11,28,84,46,138,27.9,49.2,273,361,328,2,0,1,-294.6665694,77.65579761,-483.6107969,-75.84233353,-63.06565203,10.51052147,2.339391289
1522,burnije01,"Burnitz, Jeromy",N,1,N,1993,2006,14,14,0,N,1694,5710,91.7,144.7,298,29,315,98.1,74,58,739,1376,75,78,9,43,99,32.7,81.3,253,481,345,0,0,0,-563.4482708,-46.17783549,-463.2719776,-84.07414006,-53.15011677,7.812329353,2.271215805
1539,burroje01,"Burroughs, Jeff",N,1,N,1970,1985,16,16,0,N,1689,5536,72,144.3,230,20,240,88.2,16,22,831,1135,65,15,4,63,148,25,84.7,261,439,355,1,0,1,-488.1805592,-4.848679573,-471.0128545,-97.42407918,-58.01627143,3.809711733,1.656210265
1549,busbyji01,"Busby, Jim",N,0,N,1950,1962,13,13,0,N,1352,4250,54.1,111.3,162,35,48,43.8,97,48,310,439,4,23,57,15,83,19.7,40.7,262,350,314,0,0,0,-274.9686129,54.19262198,-466.8700586,-74.73936847,-65.11018066,3.548413293,1.109237379
