,HOF,SP,ASG,G,AB,AVG,OBP,SLG,R_Norm,DB_Norm,TP_Norm,HR_Norm,RBI_Norm,SB_Norm,CS_Norm,BB_Norm,SO_Norm,IBB_Norm,HBP_Norm,SH_Norm,SF_Norm,GIDP_Norm,DBTP_Norm,BBSB_Norm
779,0,10,0,832,2707,266,342,366,0.161433321,0.0350942002,0.0195788696,0.0084964906,0.078684891,0.08976727,0.0214259328,0.1134096786,0.1337273735,0.0029553011,0.0059106021,0.015145918,0.00701884,0.0084964906,0.0546730698,0.2031769487
780,0,11,0,901,2737,267,332,419,0.1249543296,0.0460358056,0.010230179,0.0284983559,0.11983924,0.009499452,0.0091340884,0.0935330654,0.1563755937,0.0058458166,0.0080379978,0.0084033613,0.010230179,0.0237486299,0.0562659847,0.1030325174
781,0,16,0,1472,4364,258,300,438,0.1228230981,0.0524747938,0.0066452796,0.0380384968,0.146883593,0.0162694775,0.011228231,0.0602658112,0.1879010082,0.011228231,0.0036663611,0.0084784601,0.011228231,0.0293308891,0.0591200733,0.0765352887
782,1,23,0.65,2896,10654,267,322,401,0.1156373193,0.045241224,0.0063825793,0.0251548714,0.1273700019,0.0026281209,0.0020649521,0.080720856,0.0929228459,0.0112633753,0.0049746574,0.0094800075,0.0107002065,0.0278768538,0.0516238033,0.0833489769
783,1,21,0.57,2808,10006,294,389,537,0.1827903258,0.052768339,0.0071956826,0.0585648611,0.1810913452,0.0203877673,0.0076953828,0.1419148511,0.1531081351,0.0217869278,0.0197881271,0.0016989806,0.0101938837,0.0268838697,0.0599640216,0.1623026184
784,0,11,0,854,2521,249,328,365,0.106307021,0.0444268148,0.0091233637,0.0178500595,0.0971836573,0.0087266958,0.0079333598,0.1150337168,0.2011106704,0.0103133677,0.0071400238,0.0083300278,0.0083300278,0.0265767553,0.0535501785,0.1237604125
785,0,17,0,2017,6611,237,275,351,0.0925729844,0.0434124943,0.0069581001,0.0187566178,0.0980184541,0.0052942066,0.0046891544,0.049009227,0.1426410528,0.0055967327,0.0040841023,0.0124035698,0.0051429436,0.0252609288,0.0503705945,0.0543034337
786,0,11,0.09,950,3031,259,321,481,0.1283404817,0.0580666447,0.0029693171,0.0527878588,0.1725503134,0.0032992412,0.0046189376,0.0910590564,0.2649290663,0.0108874959,0.0036291653,0.0006598482,0.0075882547,0.0174859782,0.0610359617,0.0943582976
787,0,12,0,1064,2708,247,351,434,0.1355243722,0.0498522895,0.0014771049,0.0446824225,0.1514032496,0.0059084195,0.0073855244,0.1499261448,0.1580502216,0.0059084195,0.015140325,0.008493353,0.0096011817,0.0284342688,0.0513293944,0.1558345643
788,0,16,0.31,1822,6309,263,306,337,0.1131716595,0.0402599461,0.0039625931,0.0085592011,0.0939927088,0.0117292756,0.0107782533,0.062767475,0.0775083214,0.0047551117,0.0031700745,0.0137898241,0.0093517198,0.0286891742,0.0442225392,0.0744967507
789,0,10,0.1,1002,3303,269,328,388,0.1268543748,0.0378443839,0.0060551014,0.0233121405,0.1207992734,0.0051468362,0.0030275507,0.0805328489,0.1241295792,0.0069633666,0.0118074478,0.0136239782,0.0066606116,0.0242204057,0.0438994853,0.0856796851
790,0,10,0.2,905,2767,255,354,443,0.1282977954,0.040477051,0.0036140224,0.046620889,0.1507047344,0.0025298157,0.0032526202,0.1496205276,0.1752800867,0.0097578605,0.010480665,0.0046982291,0.0119262739,0.0249367546,0.0440910734,0.1521503433
791,0,12,0,730,1912,247,298,302,0.1140167364,0.0413179916,0.0005230126,0.0041841004,0.0810669456,0.004707113,0.0052301255,0.0732217573,0.0831589958,0.0020920502,0.0026150628,0.0188284519,0.0094142259,0.0271966527,0.0418410042,0.0779288703
792,0,15,0,857,2151,215,283,319,0.0883310088,0.0320781032,0.0060437006,0.019990702,0.0976290098,0.0051139005,0.0046490005,0.0855416086,0.2343096234,0.0083682008,0.0106927011,0.0185960019,0.0027894003,0.0316132032,0.0381218038,0.0906555091
793,0,14,0.29,1585,4847,249,326,371,0.1056323499,0.0391995048,0.0090777801,0.0214565711,0.1130596245,0.0138229833,0.0115535383,0.1128533113,0.1396740252,0.0226944502,0.0074272746,0.0090777801,0.0109345987,0.0156798019,0.0482772849,0.1266762946
794,0,16,0,1428,4208,249,315,333,0.1311787072,0.0392110266,0.0078422053,0.0095057034,0.0836501901,0.0449144487,0.0225760456,0.0976711027,0.1269011407,0.0047528517,0.0026140684,0.0163973384,0.0078422053,0.0213878327,0.0470532319,0.1425855513
795,0,16,0.19,1547,5556,264,311,427,0.1231101512,0.0516558675,0.0070194384,0.0322174226,0.1457883369,0.00449964,0.002699784,0.0664146868,0.156587473,0.0106191505,0.006299496,0.0116990641,0.0091792657,0.0232181425,0.058675306,0.0709143269
796,0,14,0.21,1799,6373,291,375,378,0.1374548878,0.0442491762,0.0100423662,0.0076886866,0.0988545426,0.005805743,0.0080025106,0.1324337047,0.0983838067,0.0043935352,0.0043935352,0.0076886866,0.0053350071,0.0273026832,0.0542915424,0.1382394477
797,0,18,0.17,2181,7318,263,310,338,0.1087728888,0.0400382618,0.0077890134,0.0062858705,0.0856791473,0.0228204427,0.0094288057,0.0660016398,0.0911451216,0.0144848319,0.0049193769,0.0180377152,0.0069691172,0.0237769882,0.0478272752,0.0888220825
798,0,10,0,448,1087,225,282,371,0.1039558418,0.0459981601,0.0027598896,0.0312787489,0.118675253,0.0027598896,0.0027598896,0.0772769089,0.3265869365,0.0064397424,0.0055197792,0.0018399264,0.009199632,0.0239190432,0.0487580497,0.0800367985
799,0,11,0,636,1920,193,252,280,0.0760416667,0.03125,0.00625,0.0145833333,0.0838541667,0.0020833333,0.0020833333,0.0791666667,0.1927083333,0.0119791667,0.0020833333,0.0057291667,0.0057291667,0.0359375,0.0375,0.08125
800,0,11,0,564,1289,230,286,330,0.126454616,0.0356865787,0.0031031808,0.0193948798,0.0845616757,0.0232738557,0.0131885182,0.0752521334,0.12257564,0.003878976,0.0062063615,0.0170674942,0.0054305663,0.0256012413,0.0387897595,0.0985259891
801,0,13,0,1302,4101,261,293,381,0.1068032187,0.035113387,0.0080468178,0.0229212387,0.1109485491,0.0285296269,0.0124359912,0.0436478908,0.1592294562,0.0090221897,0.0036576445,0.0134113631,0.0060960741,0.0190197513,0.0431602048,0.0721775177
802,0,14,0,1672,5934,282,385,498,0.1661611055,0.0571284125,0.0040444894,0.0503875969,0.1712167172,0.0080889788,0.0070778564,0.1634647792,0.2291877317,0.0075834176,0.0112908662,0,0.0114593866,0.0165149983,0.0611729019,0.171553758
803,0,16,0.19,1720,6081,259,315,420,0.1435619142,0.0471961848,0.016773557,0.0264759086,0.1156059859,0.0651208683,0.0235158691,0.0723565203,0.2371320506,0.0062489722,0.0121690511,0.0044400592,0.0069067588,0.0133201776,0.0639697418,0.1374773886
804,0,15,0,1490,4850,272,308,334,0.1131958763,0.0397938144,0.0065979381,0.0030927835,0.0802061856,0.0113402062,0.0065979381,0.0472164948,0.104742268,0.0059793814,0.0082474227,0.0191752577,0.0070103093,0.0280412371,0.0463917526,0.058556701
805,1,16,0.62,2164,8385,285,344,452,0.1571854502,0.0480620155,0.0090638044,0.0336314848,0.12653548,0.041025641,0.0127608825,0.0907573047,0.1502683363,0.0070363745,0.0040548599,0.0036970781,0.0084675015,0.0165772212,0.0571258199,0.1317829457
806,0,17,0.06,1777,6241,267,343,487,0.1661592693,0.0546386797,0.0096138439,0.0488703733,0.1575068098,0.0487101426,0.0184265342,0.1079955135,0.2586124019,0.0078513059,0.011376382,0.0022432303,0.0068899215,0.0193879186,0.0642525236,0.1567056561
807,0,13,0.23,1448,5062,296,326,398,0.1118135124,0.0404978269,0.0112603714,0.0128407744,0.1155669696,0.0069142631,0.0075069143,0.0440537337,0.0653891742,0.018964836,0.0045436586,0.0055314105,0.0086922165,0.028447254,0.0517581983,0.0509679968
808,0,20,0.25,1978,6951,263,307,415,0.1086174651,0.0464681341,0.0058984319,0.0312185297,0.1323550568,0.0130916415,0.0099266293,0.0618616026,0.1827075241,0.007480938,0.0054668393,0.003740469,0.0100704935,0.0294921594,0.052366566,0.0749532441
809,1,15,0.6,2243,8143,277,362,464,0.1397519342,0.044823775,0.0082279258,0.0419992632,0.1634532727,0.0042981702,0.0050349994,0.1360677883,0.1649269311,0.0115436571,0.0046665848,0.0015964632,0.0115436571,0.0314380449,0.0530517008,0.1403659585
810,0,10,0,674,1623,225,316,303,0.0800985829,0.0326555761,0.0030807147,0.0129390018,0.0967344424,0.0043130006,0.0049291436,0.1318545903,0.1386321627,0.0166358595,0.0036968577,0.0086260012,0.0049291436,0.0301910043,0.0357362908,0.1361675909
811,0,11,0,633,1449,242,330,401,0.0917874396,0.0317460317,0.0034506556,0.0400276052,0.1469979296,0.0013802622,0,0.1318150449,0.1732229124,0.0262249827,0.0041407867,0.0013802622,0.0089717046,0.0213940649,0.0351966874,0.1331953071
812,0,14,0.36,1769,6940,281,335,358,0.131556196,0.0400576369,0.0067723343,0.0077809798,0.0792507205,0.0639769452,0.025648415,0.0801152738,0.0841498559,0.0067723343,0.0034582133,0.0108069164,0.0053314121,0.021037464,0.0468299712,0.144092219
813,0,11,0,1128,3555,244,341,344,0.1226441632,0.0371308017,0.0073136428,0.0160337553,0.0908579466,0.0120956399,0.0106891702,0.1451476793,0.1310829817,0.005907173,0.0061884669,0.0073136428,0.0084388186,0.0225035162,0.0444444444,0.1572433193
814,1,18,0.67,2404,8352,267,380,527,0.180316092,0.0488505747,0.0070641762,0.0656130268,0.1909722222,0.0208333333,0.0110153257,0.1804358238,0.2254549808,0.024066092,0.0094588123,0.0019157088,0.0129310345,0.0186781609,0.055914751,0.2012691571
